0	[-0.12703462911236513, 0.05945764453482888, -0.14474143591882851, -0.04652604944498878, 0.1832057541528554, -0.013749517044167148, -0.014806021012438267, -0.07537912576194267, -0.015165263029772795, 0.1850065572355777, 0.1181223001405177, -0.028170172106976157, 0.03225508378321547, 0.1596841548867427, -0.026836174266393696, -0.12500337567429032, 0.04447649439394129, -0.5099331419353486, -0.08200996977348353, -0.058010175333264385, 0.0046881757773551734, -0.10029837137605555, 0.014649870287012777, -0.08724163948192612, 0.009719016757437603, -0.24009471801121388, -0.10652130008543342, -0.12230619133237537, -0.0953098267247368, 0.17831677175530197, 0.011290335987415188, 0.10116464462222274, 0.06554485210411758, 0.07297434304678316, 0.004054748767532907, -0.18660410158867843, -0.2582263889320122, -0.035307525631314625, 0.010728742609058749, -0.11114948343326297, -0.13229106235238935, 0.43779478885670053, -0.11420194998681919, 0.1109744388958635, -0.03526785489037505, 0.013994612773341025, -0.160915411705943, 0.003340289408062403, -0.06162315239988838, 0.09824260350069412]
1	[0.0059958045810919415, 0.13828830805365633, 0.053947674209667194, 0.19735924946208377, 0.20136525717441986, -0.14131833707193664, -0.06885656163507671, -0.13698941828691946, 0.032969522245664976, -0.09716229623667864, -0.025984791645602055, 0.06822132276193785, 0.021007230959447794, 0.02833305849795774, 0.13189105252031588, 0.2856285782555959, 0.03996128641639093, -0.518762260219293, -0.06004332846967366, 0.12934764326825984, 0.1349766633350943, 0.03933106176746952, 0.17390258056031105, -0.09890274446635944, -5.7764697464427465e-05, 0.014917564031755173, 0.03987572686908241, -0.06676483777738348, 0.11735771580297118, -0.04687477272911977, -0.1277810416077842, -0.05264487669861045, -0.0020743858039190166, -0.06582133337574102, 0.19640860512380093, -0.05756497793442463, -0.1339478617282048, 0.010045353024295418, -0.03910373056352057, -0.06580823418645627, 0.10308535894114211, -0.35904684971444156, -0.036814987981093866, -0.07205305774459873, 0.1085361540945122, -0.06446505073636422, -0.3343975584568873, -0.0359390617190039, -0.007648126449803245, -0.03703327566101907]
2	[-0.12851773772217967, 0.22720737163754146, 0.2505721036036466, 0.06583444773142161, -0.06852355857334853, -0.12017748169702272, 0.17192829227498488, -0.08455706551341549, -0.07042180409458403, 0.01541207912145988, -0.01810569004262667, -0.03797409848210409, 0.1759148506541672, 0.1983142398008269, -0.07922687238375269, 0.18539021568040318, -0.20349065579308778, 0.1585031224125087, -0.08509715040031043, -0.05701202328057118, 0.09697041927656241, 0.049520693798073716, 0.020741691223662935, 0.15682513544387727, 0.04855161063777418, 0.10543768742261762, -0.12425440654961394, -0.30732237669968315, 0.07446649919613617, 0.009085398716334176, 0.03998776009715374, 0.10748809211848007, -0.045765736332572235, 0.24440640447394932, 0.25168486085823377, -0.013320527437958323, -0.12193899707790433, -0.07859216551928647, 0.11467703836840895, 0.09783614211921364, -0.12959260619030602, -0.07916122179773238, 0.04724614338716266, -0.13867103714092271, -0.3268004682880616, 0.03634195136961897, -0.26087744024185405, 0.006594078131252476, -0.07655902694578029, -0.1980806995009806]
3	[-0.18424589951661696, -0.03526151842919657, 0.37230603591778255, -0.043259862288618355, -0.023891944658516608, -0.04743856683123463, 0.07682952134530413, 0.12782395239432037, 0.038221344081761095, 0.0034900123129772537, -0.0487499404412663, 0.1015503182450561, -0.06839219641447634, 0.026977092576257588, -0.004086541886210106, 0.34852234140378346, 0.007836585499975965, 0.341480246996271, -0.045439297281673875, -0.00519637849814282, 0.057778676520132514, 0.07392256475223863, -0.0032930388873938206, 0.09454420220680518, -0.18272560612730002, 0.1614644562984079, -0.021435423768472767, 0.29887319614636776, -0.05056847503537832, -0.05729238693871522, -0.04374039194804733, -0.06857500980129397, 0.12245735234993874, -0.0399410427558002, -0.1755275901749374, 0.04135519235263654, 0.18765774974350835, -0.03157090002163305, 0.014011133429780814, 0.05994893792227641, 0.053523410332299876, 0.39704566422429655, 0.2453132620807587, 0.05810128356600501, 0.06652115456380427, 0.025642993517509136, 0.13949728081816648, 0.025566544163163264, 0.13081521173762117, -0.067171174189138]
4	[0.06800772325017836, 0.1289551988294929, 0.07218775262321159, -0.12528831389243184, 0.08152775174208098, -0.15143622617313998, -0.001527045649271742, 0.06806644121635129, -0.022502530512235157, -0.19542283740237223, -0.09991431671781356, -0.05722137528669302, 0.019965688008703, 0.08161236296855981, -0.16592112170624562, 0.11561819274969316, 0.13611220627240325, 0.6595145934300142, -0.13197496055295305, -0.2103084457865575, 0.03877668923307351, -0.03306865954657455, -0.006462452449860575, 0.04154928927482694, 0.07341847284449252, 0.07203335723181152, 0.08690069185379443, 0.06959875860502152, -0.00848826847654416, -0.02933106265543408, -0.07622570791601277, 0.08388062517520296, 0.19475230154477086, 0.022575533539947647, -0.3652751300743154, -0.0285824712977952, -0.020223786915672042, 0.01641211707950811, -0.09049002432225155, -0.0164777798423176, -0.02569120160833126, 0.13861417133704648, -0.09303774001067991, 0.0047074797397811865, 0.14057233995311952, -0.07098932119445682, 0.06565106213930702, 0.11064234596400914, -0.006136482119354781, -0.12529665422618433]
5	[-0.2519240126464963, 0.04431779894126728, -0.04833765891647939, -0.11403830660206213, 0.053261704690516734, 0.05140764024244764, -0.030730682558552786, -0.009317876517360714, 0.12457550083621191, 0.18284044125578114, 0.0987720938509412, 0.15130003619176566, 0.0431855484238286, 0.05723431435222817, -0.07018997740933672, -0.16473808932043169, 0.10902007919602369, -0.3643721858932825, 0.024033758849927065, 0.007803658657371828, 0.3771893170317545, 0.09569283679578806, 0.13865968773882953, -0.017919812852096297, -0.12435980056542552, -0.12183188599794831, 0.2337392729403961, 0.07301890889731498, -0.3324701658743197, 0.07640330680804161, 0.027612267290280268, -0.08869564179814651, -0.0038696800933995944, -0.046079743372477604, 0.15927463323414526, -0.24022969126514876, -0.01880314276190772, 0.004442761103861099, 0.12695774501828463, 0.07591592643573566, -0.26808434771583156, -0.216939932758687, 0.07806361980857382, 0.02783622982290448, 0.029681391290947313, 0.10951843900490542, -0.11072927182154922, -0.03662976409071945, 0.045840217598672586, -0.022756875602620786]
6	[-0.08657301728795293, 0.10071082390733414, 0.24888074279876976, 0.03927497179834967, -0.1081110464180037, -0.06948498467759208, -0.007695003118845631, -0.08539305999721133, -0.46972882167375646, 0.11725435375161809, -0.039121537819496385, 0.026426948232727936, -0.11826964297474182, -0.04313584491039405, -0.08918538805271323, 0.08234308179920348, 0.031242387451538255, -0.3797152241694931, 0.015040367526094878, -0.10418518658371292, 0.015304649148655031, -0.2186621638604546, 0.10204230395872686, -0.12257055492550564, -0.17508715491977916, -0.044517494552908855, -0.011440660354094386, -0.09922820677841959, -0.07444320960668377, -0.0890064719301084, -0.1156793030728702, -0.028712229074725565, 0.09700368550927845, -0.10228251704736463, 0.22620219229259653, 0.0701922015885728, -0.11857800859200138, -0.07194285763332624, 0.19729898122329648, 0.01690436731638021, -0.08311795375884065, -0.303003440910379, 0.08003142395999137, -0.25105690791423696, 0.03815595413280052, -0.05613867235788304, -0.01782975280486807, -0.13198154082942815, 0.008204421855619905, -0.053065462649788994]
7	[-0.09858075005273204, -0.06410387898454878, 0.03246518289240349, -0.13257330947703527, -0.053043439523862056, 0.14112519386769742, -0.13091047202665457, -0.17520949855083423, -0.09113110272904615, 0.20798492479081546, 0.06320261420418508, 0.17823083733441555, -0.2845136794228814, -0.09721684269475951, -0.08075229711825546, 0.35961476410344484, 0.008688494942724853, 0.2888640356254413, -0.0909131036208449, 0.0589697420703046, 0.14240304226082212, 0.17718978388350662, 0.1330267053014599, -0.03056326533448419, -0.2226400877674754, 0.038932994461436415, 0.10630469208784508, 0.13760617156934654, 0.004603928263210792, -0.1854052680377935, 0.11852523244783582, -0.010128158811007029, 0.26035494546003785, -0.14737523087779902, -0.14130409464177937, -0.1700400420830618, 0.15051547475803298, -0.022860008664065443, -0.02743933123171811, 0.013229803382982408, 0.02508842446892831, -0.10510386212770895, 0.21739872541343572, -0.010940875646339068, -0.13190843667308352, 0.041735278132810374, -0.1502111636906207, 0.10733353063109426, -0.11245028956677845, 0.0236358467133626]
8	[0.013336076604391513, 0.13414562537659155, -0.1403860717359784, 0.04871406079689449, -0.0059375022518140886, -0.2256526928753319, 0.21052930717455284, -0.10634983539643467, 0.1733880073576556, 0.07352766556888797, -0.022981914155113328, 0.1996466309970292, 0.025894288528668836, 0.09890638277757002, 0.019583918204637236, -0.23160115244596277, 0.05244698473188967, -0.42891729117445165, -0.014420502528302976, -0.11600063815421327, 0.24205944760314416, -0.27299478843738545, 0.05145890451338779, -0.08783732140006958, -0.028537481889648983, -0.14913699577413514, 0.11572951341569593, 0.047733112333527894, 0.320321275934166, -0.06500355834096007, -0.08602247557826498, -0.09101004166170519, 0.09351050406541583, 0.0171674367213046, -0.1932261292292419, -0.08614700422000839, 0.07676719837633716, -0.23258806710227706, -0.07954301903894238, 0.03255694002932531, -0.03416148277153569, 0.059338678273918984, -0.012607259892276127, 0.03826798200090426, -0.19775121019585526, 0.00017382656108753757, 0.12692042227201394, 0.06596670341206547, 0.09645472059106895, -0.10659366835920696]
9	[-0.049378752002442496, -0.0247942727502968, 0.04555740220410761, 0.00030703736846200474, 0.08758843947584376, -0.02686486223279897, 0.06667514242424678, -0.08861218271358644, -0.1171911351831277, -0.12111898042711997, 0.030250010985940608, 0.20561276748475307, -0.02616575628107552, -0.09025111816860376, 0.0811696588737481, 0.7577564656950163, 0.03136691025454218, -0.11481446026196969, 0.027495699267924247, -0.07131229648481195, 0.141497137868491, -0.043513453409791514, -0.14063412099399325, -0.05070511189529426, -0.03019294164593073, 0.07128104852392528, 0.07998432564197476, -0.03724498235412181, 0.2209117672643755, 0.025649870909367697, 0.01259181946762562, -0.03607075679566613, 0.01561011805391727, -0.16759457220862012, 0.16360605546269844, 0.05261862901351387, -0.1521261314096285, 0.05423409830206953, 0.1142029215887614, 0.13384822831354393, 0.011741299361867586, 0.10330560639985713, 0.03037021756719758, -0.061852955065407965, -0.029882563832296104, -0.17426964864825684, 0.07747804849334629, 0.07174762239759166, 0.09295607709271264, -0.04982361361951868]
