0	[0.05940302920738282, 0.03490515699609538, 0.07616721974249233, 0.02592801882419848, -0.04572572947296648, -0.06263313434589593, -0.07959104750975786, -0.03010106809408349, -0.05093508068666606, -0.002836519399407518, -0.1554661822161852, -0.08774159555564048, 0.01067200896446958, 0.0007688035423123402, 0.03523735803526385, 0.02418480829933124, -0.048562543747683616, 0.0735110028824417, -0.016073416522094, 0.11688395186033063, -0.053567887857765784, 0.1039784827035312, 0.08969020757181144, 0.01865038131240337, -0.24307292582120468, 0.13622909227952423, 0.0016090059733126416, -0.0847207849497286, -0.005876404079426806, -0.08509280100676704, 0.032804933389282705, -0.04850285827826434, -0.030199156176705343, 0.026074670019168474, -0.04654541685967019, -0.14729224356526535, -0.13720034624504077, 0.14108467093354773, -0.08396618664222481, -0.021781045067520828, 0.09448488983730391, 0.19137641937827554, 0.07466220369057695, -0.02994745586171875, -0.07015275145816016, 0.02885598715844317, 0.811677634665834, 0.052638800059106074, -0.08242612870175459, -0.04427293549241769]
1	[-0.16003318502683558, -0.08627730445106357, -0.1285857830090758, 0.12414765400475374, -0.8346548359445224, 0.06337640289987204, -0.015668535887812612, 0.006258848081057299, -0.07808567909095222, 0.10494521405248128, -0.01655178187123319, 0.0038430229357131547, 0.025467607137606867, -0.04579751163935569, 0.014676811787632492, 0.03899594445684196, -0.001952082845790189, 0.2020115601658378, -0.018045408564931184, -0.019608956331729363, -0.023214375272346943, 0.04258681469859504, -0.16595596376764263, 0.0670421372082543, -0.0020447874153704955, 0.022929017411406447, -0.032653747600545256, 0.02807254398710041, -0.08283405389436607, 0.0026797939996240938, 0.060438650313684096, -0.0046583764793436695, -0.11897724691307666, 0.012139811633631821, -0.035096519229771236, -0.05537629578837107, 0.010531193007901517, -0.10328096938094151, -0.08472906919003732, 0.02305154525835272, -0.12435498899013944, 0.012990581020280766, 0.06716020478196598, 0.09103968611142367, 0.050525458091340195, -0.17193193891286992, -0.13770568418922982, -0.006146226090331855, 0.0739623092049085, -0.0349678166279788]
2	[0.13348284920554931, -0.038493753797173735, -0.10607898935182429, -0.0066653678509400495, 0.0452400147187313, 0.0257205617410878, -0.2688630180094408, -0.1753925039712455, -0.004334523442076451, 0.1517839544279597, -0.05395058036287697, 0.0007973143421374797, 0.07891813571489113, -0.09264778013408856, 0.01650755397263643, 0.20484316774851918, -0.015232687018881504, 0.1777480157442909, -0.033618737639490005, -0.015480737228954527, 0.007004095162949202, -0.1131962846207419, -0.04624305735292161, 0.024795506364429426, -0.03948789035949626, -0.003877330285597128, -0.04515221999273313, -0.8023699913547941, 0.05844761536005317, -0.03763769748725691, 0.11910079594443172, 0.0027298832284209217, -0.03936164115363607, 0.09037693604841728, 0.09118855527047842, -0.013680707085181765, -0.042825324810969186, -0.016951520655956915, -0.08045699574097954, -0.0958950359868779, -0.0924733516992863, -0.004857943469941339, -0.06827041572053244, -0.04081987332027617, -0.06824256888953616, -0.04347355374726007, -0.01127463408947289, 0.06821093112991385, 0.0529178023850915, -0.018563666990875107]
3	[-0.03131091994996067, 0.14082119072343716, -0.06026767824820837, -0.07441709785264258, 0.021095635029487938, 0.09268837114142951, -0.10878310937203109, 0.6743038132285919, 0.012185309158135735, -0.05770850876722325, -0.13841649155641897, 0.12673674043925987, -0.04393100370016687, -0.1260884357489453, 0.11492523615293615, 0.1310936793412958, -0.03905486015849654, 0.4524636091992557, 0.05182540450224162, -0.060103584930321016, 0.1072289144597166, -0.16140457632171684, 0.005140378888218587, -0.00955481620015704, 0.09856711030803411, -0.14145491790849785, -0.07049795319689907, -0.012628667566707911, 0.010678418428794438, 7.046722762156194e-05, -0.09392955130627319, -0.07165904725220948, 0.05438697059774181, 0.04893735745506224, 0.07336280011581893, -0.016860271726421027, -0.049157084311798584, 0.02882391792005209, -0.032000096325983544, 0.07916606093614509, -0.08409975274906832, 0.21053274320425144, -0.07107301699430303, -0.04134502672844765, 0.1305137338871524, 0.014261381247843919, -0.07340587598991723, -0.040055899878887385, 0.003991245754748475, 0.06663358276687606]
4	[-0.04427177840504199, -0.09026697856052357, -0.02812029894950577, -0.05503204168904499, -0.06702881047305623, 0.1534783052763747, -0.002768951322476736, -0.15571997885477104, -0.03493731269926287, 0.05502358702288779, -0.009391348028251194, -0.040963907497426996, -0.8224098665322956, -0.056777012558133486, -0.01907347725765871, 0.1506327306965492, 0.08178753577248567, 0.06763216664666577, 0.03540580602194998, -0.012726667133474829, -0.04186850637379724, -0.13831069262069154, -0.1768112199494371, 0.015240924236806869, 0.05664222632630545, -0.08288268441147538, 0.13281079046249292, -0.0760622436729964, 0.16178420523054235, -0.12221616573373015, 0.007124010001747398, 0.008422661578736822, 0.02199973109595069, 0.1848964488542809, -0.026457212942542812, 0.07340699092764372, -0.06253086936140795, 0.05314823453524469, -0.10550139887710441, -0.05923838352360315, -0.006604991566049214, -0.029336673454475222, 0.0012239958221644813, 0.11654481659968786, -0.07562983004410156, 0.038144116272038196, -0.02474870041904693, -0.0011379130392002773, -0.008983373609526526, 0.028900401806569897]
5	[0.027719951968788493, -0.23671420793212142, 0.0584853792279712, 0.7949026284649213, -0.025053154000226154, -0.11592576700570963, 0.09447465696206385, -0.08477356231831608, 0.0078059094023230705, -0.00366010075682836, 0.1017334258645033, 0.14024986466477107, 0.022757754954354708, 0.003240918248134026, 0.023707237150542564, 0.20413093992516776, -0.17127232922798008, 0.10659115202328918, -0.02655870948891471, 0.10666031541707698, 0.0930818653832275, 0.12507145569591074, 0.022055245210610308, 0.01704766234187848, -0.06509285062656936, -0.011362352345811857, 0.047771415017461516, -0.15345007610349234, -0.049828461357896384, -0.008781625623306219, 0.020219654951710176, 0.15796847840494885, 0.05945629813736264, 0.06603757067881809, 0.052406089695899265, -0.06625657034520158, 0.008239549766155227, 0.11566045216164537, 0.07483240697660935, 0.02079982312855693, 0.03175173260612923, 0.05604991452786656, 0.011248473219713706, 0.0569858422587212, -0.06249418797959289, 0.056504272656976835, -0.043483572471373265, 0.13098878950807774, 0.026245988451847873, 0.005017919841230306]
6	[0.13902344866785193, -0.018902350563344477, 0.759978000063517, -0.15953477758529197, 0.11301883137508238, 0.1092225342815325, 0.039448614372831446, 0.051249216998372385, 0.013163501092653409, -0.07095267747540662, -0.04604510208698864, -0.049659911320619574, -0.07569191197391338, 0.00976877335986677, 0.05568146939142825, 0.08901069962157467, 0.010277692276238608, -0.004283306667401371, 0.022671358568742715, -0.03332676268906855, -0.017697142776725357, -0.03837864811366351, 0.040672951985696496, -0.040533681993083784, 0.09398543870290363, -0.048916926158824, -0.0038087271085682725, 0.1257592450787993, -0.05170126099754612, 0.02743151171858176, -0.004349686579391614, -0.01235337856766564, 0.04004807666148236, 0.06365164501064763, -0.0006033557847177062, 0.02900198738182065, -0.0005094472271186458, 0.05623975696610022, 0.40149129103066156, -0.076423195829872, 0.003825576781880211, 0.11780065865705792, 0.07112614203257851, 0.23983797081399058, -0.010034619784444747, -0.02741240070573288, -0.14460851791742893, 0.022024337263901496, -0.08388826595013853, -0.04278074539247226]
7	[0.10702346346581837, 0.06019281931331027, -0.01633131917778869, -0.07259378924586213, 0.015760463430630513, 0.061934995220500014, -0.03838901456633941, -0.009687068375341008, -0.0931185527379495, -0.09482683227434144, 0.03758931812165688, -0.05812331819119428, -0.09966264391550236, -0.06211938464793637, -0.014880307475763304, 0.1506769394736692, -0.03917490578522927, 0.03037363708587957, 0.007007001340809259, 0.04382707285836211, 0.08779588706499726, 0.012023404945904297, 0.08950440116621419, -0.03775590853308379, 0.0009737205350162982, -0.8675527176493343, -0.019450332765990716, -0.10483286490541552, 0.01826187886654495, 0.07782912704440435, 0.04756587279510278, -0.04956293707442011, 0.0005138306151152678, 0.06354126945348902, 0.0284395491359501, -0.023825845068937434, 0.002022597425874925, 0.015542714479918585, -0.1235911505090836, 0.05184120982006636, 0.0794686441441916, -0.12123702283761578, -0.05384304485959169, -0.18658850608316946, -0.03020964018225349, 0.019509155479374717, 0.1595743535965106, 0.005872394920996509, -0.06084394151610583, -0.06983134091088852]
8	[-0.007705002651837883, 0.00026513417810881707, -0.060581549329050646, 0.39522924164715667, 0.09780029777375632, -0.030583863761411992, -0.08061111655763721, -0.06335225645941871, 0.018312603291208002, 0.028356143965597776, -0.09278951910009474, 0.07673494522534909, 0.04333216394328786, -0.1367220771026746, 0.07065580069482681, 0.16867706881890585, 0.05632464422203331, 0.12168195577351604, 0.1021236816070971, -0.029639078693153954, 0.015908393331019177, 0.09654039196963063, 0.049014084360403304, -0.04122712655071192, -0.055203526081044826, -0.11121806397364584, 0.7300604298666602, -0.1784388768817388, -0.11865239581086236, 0.09010037366155305, 0.04085170455905401, 0.012706610268792082, -0.1273509073128062, -0.03509976435602408, 0.025505182519625167, 0.05424065174293456, 0.019280463939997272, -0.02879219611150178, -0.024282126369723784, 0.0458104340511431, 0.025940918310550957, -0.08802170841823936, -0.09891892138269814, 0.04661818952254831, 0.07665299291829296, 0.11865421459712718, 0.10706091310472611, 0.03162699134863095, 0.053954494397984935, -0.1467213985076729]
9	[0.03143178858141808, 0.04648411574007687, 0.06478700120886775, -0.05248026062429913, -0.06154642738121897, -0.7759114114906094, -0.0629645170340886, -0.05167207565763735, 0.06058527267973192, 0.03769433863870938, -0.07732009909925013, 0.033981156926014416, 0.06855249355093719, -0.08681972926015459, 0.19032423120383218, 0.34165844086775243, -0.06627751648467796, -0.001839745353361749, 0.03125358566106289, -0.04030655720742756, -0.05913458985255641, -0.008898625175735508, -0.0718279219721393, 0.008077102134601723, 0.12483188552539792, 0.006165741437089087, -0.09789195027022628, 0.01751033514862855, -0.0025935842548364873, -0.07014941137514977, -0.051922573957591964, 0.03822662314807615, 0.03260201332481966, 0.09244820126844039, 0.13559869884550513, -0.008183435560983257, -0.01761116425870246, -0.01165277500158116, -0.06457589447251949, 0.010528759891104637, 0.11072493501767296, -0.038263045712315626, -0.20065397552515724, 0.046724992992821866, 0.06578799689944169, 0.17588119115704473, 0.09292389018614934, -0.0512203296174011, 0.11150345818797201, 0.04143045554874043]
10	[-0.08690505066092952, -0.04202236634321331, 0.025575216823125357, -0.028390650423307663, -0.8405876928546904, 0.009170766162507825, -0.054666569039888986, -0.016651763888030597, -0.11392978596622623, 0.12420455531461934, -0.063235238057721, -0.0009731119645288016, 0.013330666896382088, 0.1969888052030763, 0.07153320565366553, 0.12014895418189547, -0.01650691081398155, 0.09989582766451308, 0.05271182722478372, -0.026434733027080666, -0.1149545694528196, 0.025837786071523747, -0.01792616335461907, -0.03161404007197955, 0.04124520762345321, 0.008186549099978475, 0.08940799155286538, 0.11002543589017352, 0.0017268765716634915, -0.036233675152498784, 0.040755916726364395, 0.0728914889981941, -0.11632151663972301, 0.04302577221766315, -0.06229291687463945, 0.03735436566411773, -0.02333746033328025, 0.09968090455035603, -0.0626819612991995, -0.034924705074808736, 0.07122185240706858, 0.11038575038806443, 0.20953332440883854, 0.0801713288461567, -0.0001662294328717168, 0.07822525513019185, -0.11785091154435615, -0.04756623135071863, 0.00262217739783137, 0.0556679783592294]
11	[0.08584340827763554, -0.06817975924303205, -0.022537916347826394, 0.07106214761780634, 0.12088731773813158, -0.2545857920612942, -0.014952114145394125, -0.008407289887892903, 0.08235641587278601, -0.11133984030032178, -0.09711025728312717, 0.16050916471778146, 0.09946214434893136, 0.005678066185999211, 0.02278876258725773, 0.03301632841882074, 0.09030596752765266, 0.13590293560068836, 0.008888820517255105, 0.17216805579149358, 0.020011950068547044, 0.011100345339243568, -0.08281319128672678, 0.005869420668216965, 0.05370231961058015, -0.24855860988865486, -0.8027036221435939, 0.08505897784962475, 0.046204344443013835, -0.03897596404138686, -0.06999480594761404, 0.0036586860185276603, 0.001165465329234922, 0.03167658558738724, 0.0928235503282539, -0.05483905205448483, 0.06061903938056864, -0.04385700473857209, -0.06901383733177514, -0.04230453499446241, -0.10661138014302386, 0.03493127688909676, 0.0440777288829126, 0.0017251460385031992, -0.05655929488201069, 0.001965222571001891, 0.01243312189543676, -0.013937222831993019, 0.07298667205341364, 0.006637889364413985]
12	[0.06417765210183253, -0.009151067362350275, -0.02461437202277682, 0.06384841166208272, 0.011885118073311994, 0.03928208390002557, 0.004079690190291765, -0.03955244909639463, 1.3200364406878097e-05, -0.009104527067081666, 0.13706323666297876, -0.0874284813880474, -0.06856427005314542, 0.04710293420239284, 0.021617231808247424, 0.15291003388391042, -0.023139770855078467, -0.048169658733311575, -0.021978857040967633, 0.09552559470161417, -0.03433688403519966, -0.004748151831624076, 0.030545044217776682, -0.06675903412192581, 0.04080847896611537, -0.010603204248349018, 0.35736864981673594, 0.01198870362972671, -0.06698619884974358, -0.06957370856373475, -0.07885145126539286, 0.033791022322444145, 0.1769471869506112, 0.037853281753206236, 0.04392730646420042, -0.019858246724433485, 0.0003824696368887741, 0.037032682915170076, 0.03132522997078037, -0.04327860744388139, 0.04783403958178806, -0.7984812080402577, -0.01891853424195991, 0.03782185851794486, 0.10483006364019232, -0.05723755139499716, 0.04412652820294801, -0.2529283225926634, 0.047358682252708506, -0.04268470256983033]
13	[0.13024852875886808, 0.10716921637412445, -0.08236595479403033, 0.021342591967004294, 0.06636417845923451, -0.024546557339177946, 0.18346835999877092, 0.005006883379397791, 0.04029117058032938, -0.005506409391427791, -0.05058121079433081, 0.05458801927430338, -0.11143764656028284, -0.08322389037008479, 0.0514182841256294, 0.07172726212568614, 0.0017283704391173416, 0.07248653381188426, 0.04200496980925862, 0.04108123718962736, 0.009571104345888098, -0.09588109542664361, -0.16668380115422765, 0.05473877143221323, 0.001642660781286358, 0.045620649111372695, -0.17586979959870275, 0.09178522755123075, -0.0988387044667183, 0.06514846614850107, 0.05610072021551263, -0.13675235275096564, -0.13423288001424966, -0.029712619255939574, 0.03490764188578963, -0.029148590716587337, 0.07072782945783491, -0.08890265382397844, -0.11864103722388142, -0.015593423606450078, 0.04250028226043751, 0.015914428464853116, -0.0908291423915714, 0.005641533875832924, -0.0538404816117138, 0.8172753061449132, 0.00462034456574734, 0.1386950932108172, 0.12050471286844008, 0.0454497200509504]
14	[0.043684257375304986, 0.06419561278800544, -0.09777434958532777, 0.06680278401722707, 0.11259824283085196, 0.10610764950697936, -0.13034735639502842, -0.011145249306863557, -0.061849165884137386, -0.05796650666464801, -0.04097025342588627, 0.03507034668739276, -0.007020894059641711, -0.05606668193156469, 0.07128397334992834, 0.016550552376977445, 0.005361926527876901, 0.08529902705797789, -0.0070554556399536495, 0.03212380831641384, -0.05157283683936094, -0.11833686306181926, 0.07418754407897858, -0.005774256852448281, -0.06498573728282604, -0.8766027159200974, -0.06242748220315548, -0.021042478008267806, -0.08439986939612279, -0.02566639105839244, 0.1380737755782787, -0.005118165621081041, -0.07055074839923092, 0.06571874056251713, -0.052918685547491094, -0.045502022690579236, -0.06509826484754094, 0.04670162123043598, -0.08543750339183072, -0.09033683154699215, -0.023863734476526566, 0.13024704305597593, -0.061666215172176124, -0.08254792438234972, -0.10069865588856142, -0.08505805344042995, 0.035109397647278925, -0.04120709450967029, -9.166399571316484e-05, -0.03600747372763406]
15	[0.009748939107842703, -0.02256138372088125, -0.1252623911849611, 0.058657498663059734, 0.12589527524864885, 0.03480430636742197, -0.09424938552471226, -0.08391552911283207, 0.17977765325221776, 0.13941107075865977, 0.15888466105785612, 0.05122362642000012, 0.1530301629528071, 0.07007951069987552, -0.01778638152926595, 0.011324731932584637, 0.19524208122938444, 0.04490835229465411, -0.026508330616281158, 0.027085373151478208, 0.025277085783540546, 0.029937985992754743, 0.36154288309052357, 0.003697916091126522, 0.03301505867341483, -0.09747298172540977, -0.11338344387311902, 0.019297493872184445, 0.0376437857227182, 0.034182001119300934, -0.0389077558711345, 0.003315608330891196, -0.042101571615750816, -0.01199861099732525, 0.03492170145422535, 0.061103936053575385, 0.06221304002497929, 0.08267450411998063, 0.19104728042984656, -0.0988188735127705, -0.029423851634128403, 0.02856501837666539, -0.09622308641007182, -0.030577258503140907, 0.07672997041929742, 0.723092459655176, 0.06902454546361536, 0.015098017969256326, 0.1593704475855796, -0.04754535398150757]
16	[0.13481341886753662, -0.061797013935831126, -0.10140930113749193, -0.010458973073327629, -0.0914562852090401, 0.08034395810665622, -0.08801870050196518, -0.2231109498379523, -0.029352154297927115, 0.011607364727018498, -0.05318772227151976, -0.035688938602844125, -0.025417139545561244, 0.7634405097063129, -0.10381610856917226, 0.15227027994040968, 0.08213183054032462, 0.03598609699117206, 0.10985517837319167, -0.016143699977794336, -0.13169585259984848, -0.006773105735943914, -0.0961946677004841, -0.12230359309083967, 0.004379831513763517, 0.14144740752335305, 0.020197333276423375, 0.061182124946139366, 0.05594362929986633, 0.006038456842752549, -0.039116745758472175, 0.014178590796088127, 0.011768207777668748, -0.01153051258196446, 0.060342772496048656, 0.029165739239317222, -0.13668895389326122, 0.07700137525859173, 0.11607098823340417, 0.108796923241453, -0.055683977373487736, 0.013610362651741903, 0.021741064270602416, 0.04255550306791755, -0.0011817771562340248, -0.003532744974998165, 0.10393152106350963, 0.07283199862994012, 0.06923686205067969, 0.3170217927914614]
